Description,avg_price,total_quantity,num_transactions,num_customers,total_revenue,Cluster,Segment
CREAM WALL PLANTER HEART SHAPED,5.946620689655172,417,144,121,2402.6600000000003,0,Budget
CROCHET ROSE PURSE WITH SUEDE BACK,2.95,70,17,15,206.50000000000003,0,Budget
CRYSTAL FROG PHONE CHARM,1.2863636363636362,85,11,5,49.93,0,Budget
CRYSTAL STUD EARRINGS ASSORTED COL,0.38,612,15,15,232.56,0,Budget
CUBIC MUG FLOCK BLUE ON BROWN,0.898235294117647,127,17,16,60.33,0,Budget
CUBIC MUG FLOCK PINK ON BROWN,0.5778260869565217,130,20,15,57.18,0,Budget
CUBIC MUG PINK POLKADOT,0.6235135135135135,489,34,30,220.95,0,Budget
CUPBOARD 3 DRAWER MA CAMPAGNE,14.772988505747126,145,87,74,2070.95,0,Budget
CUPCAKE LACE PAPER SET 6,1.9417441860465117,2321,170,160,4355.33,1,Trending
CUPID DESIGN SCENTED CANDLES,2.188333333333333,208,30,28,436.4,0,Budget
CURIO CABINET LINEN AND LACE,8.027777777777779,36,18,16,290.1,0,Budget
CURIOUS  IMAGES NOTEBOOK SET,2.45,181,10,9,262.25,0,Budget
CURIOUS IMAGES GIFT WRAP SET,0.7833333333333334,597,84,72,566.4,0,Budget
CUSHION COVER PINK UNION JACK,5.934864864864865,108,37,31,576.64,0,Budget
CUT GLASS T-LIGHT HOLDER OCTAGON,2.4313793103448273,243,25,21,516.45,0,Budget
CUTE CATS TAPE,0.5708888888888889,975,45,37,315.55,0,Budget
DAIRY MAID LARGE MILK JUG,4.933969465648855,327,124,94,1593.45,0,Budget
DAIRY MAID STRIPE MUG,1.0974698795180724,1907,82,63,1721.0900000000001,0,Budget
DAIRY MAID TOASTRACK,1.072857142857143,756,83,64,690.12,0,Budget
DAIRY MAID TRADITIONAL TEAPOT,6.927528089887641,179,86,62,1230.05,0,Budget
DAISIES  HONEYCOMB GARLAND,1.65,419,51,44,691.3499999999999,0,Budget
DAISY FOLKART HEART DECORATION,1.25,96,16,14,120.0,0,Budget
DAISY GARDEN MARKER,1.2585185185185184,1078,54,48,1513.1,0,Budget
DAISY JOURNAL,2.6426923076923075,66,26,21,173.11999999999998,0,Budget
DAISY NOTEBOOK,1.65,64,20,19,105.6,0,Budget
DAISY SKETCHBOOK,3.6984,71,25,24,189.96,0,Budget
DANISH ROSE BEDSIDE CABINET,39.95,13,10,10,519.35,0,Budget
DANISH ROSE DECORATIVE PLATE,1.4351785714285714,951,55,48,710.64,0,Budget
DANISH ROSE DELUXE COASTER,0.62,947,40,35,417.34999999999997,0,Budget
DANISH ROSE FOLDING CHAIR,7.95,112,25,25,890.4000000000001,0,Budget
DANISH ROSE PHOTO FRAME,1.3434,1424,99,79,1461.6,0,Budget
DANISH ROSE ROUND SEWING BOX,2.2196774193548388,811,62,56,951.79,0,Budget
DANISH ROSE TRINKET TRAYS,3.78125,261,31,31,484.63,0,Budget
DARK BIRD HOUSE TREE DECORATION,0.3229411764705882,1251,66,59,377.90999999999997,0,Budget
DECORATION  BUTTERFLY  MAGIC GARDEN,0.8477966101694915,449,57,57,377.49,0,Budget
DECORATION  PINK CHICK MAGIC GARDEN,0.8472340425531915,383,44,43,321.39,0,Budget
"DECORATION , WOBBLY CHICKEN, METAL",1.65,229,28,27,377.84999999999997,0,Budget
"DECORATION , WOBBLY RABBIT , METAL",1.65,298,34,30,491.69999999999993,0,Budget
DECORATION SITTING BUNNY,0.20534883720930233,1335,41,32,257.61,0,Budget
DECORATION WHITE CHICK MAGIC GARDEN,0.8484883720930232,645,75,73,544.09,0,Budget
DECORATION WOBBLY CHICKEN,0.6506896551724138,521,29,25,256.11,0,Budget
DECORATION WOBBLY RABBIT METAL,0.6699999999999999,753,45,35,375.57,0,Budget
DECORATIVE CATS BATHROOM BOTTLE,1.150576923076923,835,52,39,647.03,0,Budget
DECORATIVE FLORE BATHROOM BOTTLE,1.2297560975609756,283,41,34,313.91,0,Budget
DECORATIVE PLANT POT WITH FRIEZE,7.902,70,25,23,544.5,0,Budget
DECORATIVE ROSE BATHROOM BOTTLE,1.0779661016949154,920,59,50,693.52,0,Budget
DECORATIVE VINTAGE COFFEE  BOX,4.902941176470589,47,16,13,223.05,0,Budget
DECORATIVE WICKER HEART LARGE,1.6483539094650204,1712,215,168,2812.7999999999997,1,Trending
DECORATIVE WICKER HEART MEDIUM,1.249,1761,195,158,2193.69,1,Trending
DECORATIVE WICKER HEART SMALL,0.6290697674418605,1492,81,67,932.2800000000001,0,Budget
"DECOUPAGE,GREETING CARD,",0.42,336,23,17,141.12,0,Budget
DELUXE SEWING KIT,6.070892857142858,1058,222,157,5974.62,1,Trending
DENIM PATCH PURSE PINK BUTTERFLY,1.65,140,27,26,231.0,0,Budget
DIAMANTE BOW BROOCH GREEN COLOUR,6.35,21,10,8,133.35,0,Budget
DIAMANTE BOW BROOCH RED COLOUR,6.349999999999999,27,10,8,171.45,0,Budget
"DIAMANTE HEART SHAPED WALL MIRROR,",10.328947368421053,267,38,27,1490.65,0,Budget
DIAMANTE RING ASSORTED IN BOX.,1.3472727272727274,1008,22,21,1311.3600000000001,0,Budget
DINOSAUR HEIGHT CHART STICKER SET,2.95,165,35,32,486.75000000000006,0,Budget
DINOSAUR KEYRINGS ASSORTED,0.2122222222222222,6462,131,104,1332.9299999999998,1,Trending
DINOSAUR LUNCH BOX WITH CUTLERY,2.563571428571428,1227,167,116,2868.7799999999997,1,Trending
DINOSAUR PARTY BAG + STICKER SET,1.663478260869565,684,91,77,1101.44,0,Budget
DINOSAURS  WRITING SET,1.688139534883721,589,168,120,980.0499999999998,0,Budget
DISCO BALL CHRISTMAS DECORATION,0.11851063829787233,12714,181,111,1408.56,1,Trending
DISCO BALL ROTATOR BATTERY OPERATED,4.245098039215686,244,102,57,1034.0,0,Budget
DO NOT TOUCH MY STUFF DOOR HANGER,0.701764705882353,1176,110,86,603.86,0,Budget
DOCTOR'S BAG SOFT TOY,9.749393939393938,174,66,46,1640.1799999999998,0,Budget
DOG BOWL CHASING BALL DESIGN,3.762327586206897,1341,114,85,5227.929999999999,0,Budget
DOG BOWL VINTAGE CREAM,4.248796296296296,354,108,83,1507.92,0,Budget
DOG LICENCE WALL ART,5.745172413793104,408,29,28,2081.64,0,Budget
DOG TOY WITH PINK CROCHET SKIRT,3.7607042253521126,166,70,60,623.26,0,Budget
DOGGY RUBBER,0.21,193,29,25,40.53,0,Budget
DOILEY BISCUIT TIN,2.8592307692307695,120,13,13,327.6,0,Budget
DOILEY STORAGE TIN,2.8652212389380534,1082,112,93,2934.98,0,Budget
DOILY THANK YOU CARD,0.41739130434782606,727,44,41,296.7,0,Budget
DOLLCRAFT BOY JEAN-PAUL,4.883333333333334,82,12,12,373.9,0,Budget
DOLLCRAFT GIRL NICOLE,4.95,68,12,12,336.6,0,Budget
DOLLY CABINET 2 DRAWERS,12.5,33,19,19,412.5,0,Budget
DOLLY CABINET 3 DRAWERS,14.95,51,30,30,762.4499999999999,0,Budget
DOLLY GIRL BABY GIFT SET,16.425409836065572,421,120,99,6567.95,1,Trending
DOLLY GIRL BEAKER,1.243840579710145,2398,133,100,2759.5,0,Budget
DOLLY GIRL CHILDRENS BOWL,1.245774647887324,1553,141,111,1854.8500000000001,0,Budget
DOLLY GIRL CHILDRENS CUP,1.2693835616438358,1549,144,104,1881.39,0,Budget
DOLLY GIRL CHILDRENS EGG CUP,1.26070796460177,905,111,98,1132.46,0,Budget
DOLLY GIRL LUNCH BOX,1.950880503144654,11336,616,287,20129.44,3,Niche
DOLLY GIRL MINI BACKPACK,4.139403973509935,717,144,116,2855.55,0,Budget
DOLLY GIRL WALL ART,3.6090909090909093,318,11,10,1055.94,0,Budget
DOLLY HONEYCOMB GARLAND,1.4595238095238094,449,20,20,404.85,0,Budget
DOLLY MIXTURE CHILDREN'S UMBRELLA,3.302,255,64,51,832.13,0,Budget
DOOR HANGER  MUM + DADS ROOM,1.4499999999999997,187,52,45,271.15,0,Budget
DOORMAT 3 SMILEY CATS,7.792429378531073,1107,174,111,6715.25,1,Trending
DOORMAT AIRMAIL,7.803141025641025,722,156,104,4887.82,1,Trending
DOORMAT BLACK FLOCK,7.745568181818182,1787,173,105,9822.2,1,Trending
DOORMAT CHRISTMAS VILLAGE,8.836,568,35,30,2991.7,0,Budget
DOORMAT ENGLISH ROSE,7.776983240223463,1975,356,227,13470.95,1,Trending
DOORMAT FAIRY CAKE,7.906557377049181,3429,241,143,21187.69,3,Niche
DOORMAT FANCY FONT HOME SWEET HOME,7.865376884422111,3088,397,203,19157.02,3,Niche
DOORMAT HEARTS,7.949690082644628,3271,480,286,19948.81,3,Niche
DOORMAT HOME SWEET HOME BLUE,7.8726515151515155,1597,261,198,9635.89,1,Trending
DOORMAT I LOVE LONDON,7.934782608695652,327,69,56,2157.33,0,Budget
DOORMAT MERRY CHRISTMAS RED,8.764513274336283,614,112,94,4340.44,0,Budget
DOORMAT MULTICOLOUR STRIPE,7.699647887323943,1419,141,88,8053.22,1,Trending
DOORMAT NEIGHBOURHOOD WITCH,8.289,253,70,37,1645.67,0,Budget
DOORMAT NEW ENGLAND,7.816219739292365,3721,531,314,22968.25,3,Niche
DOORMAT PEACE ON EARTH BLUE,7.9585185185185185,700,27,26,3442.04,0,Budget
DOORMAT RESPECTABLE HOUSE,7.865118110236221,730,126,83,4873.44,0,Budget
DOORMAT SPOTTY HOME SWEET HOME,7.964829268292683,1662,405,251,12095.67,1,Trending
DOORMAT TOPIARY,7.966775956284153,880,182,125,5644.46,1,Trending
DOORMAT UNION JACK GUNS AND ROSES,7.759430379746836,1159,155,108,6635.61,1,Trending
DOORMAT VINTAGE LEAF,8.092231404958678,541,121,100,3766.57,0,Budget
DOORMAT VINTAGE LEAVES DESIGN,7.66625,426,88,75,2833.7000000000003,0,Budget
DOORMAT WELCOME PUPPIES,7.909407114624505,2028,252,163,11544.2,1,Trending
DOORMAT WELCOME SUNRISE,7.940520833333333,344,95,65,2268.64,0,Budget
DOORMAT WELCOME TO OUR HOME,7.917117647058824,1378,338,231,9468.08,1,Trending
DOORSTOP FOOTBALL DESIGN,3.7803846153846155,135,51,37,408.73,0,Budget
DOORSTOP RACING CAR DESIGN,2.682424242424242,118,32,28,236.0,0,Budget
DOORSTOP RETROSPOT HEART,3.8366249999999997,1516,236,177,5938.21,1,Trending
DOTCOM POSTAGE,744.1475,16,16,1,11906.36,2,Premium
DOUGHNUT LIP GLOSS,1.2418446601941748,9662,308,217,11640.7,3,Niche
DOVE DECORATION PAINTED ZINC,0.439811320754717,2283,49,47,668.09,0,Budget
DRAGONS BLOOD INCENSE,0.21,349,13,12,73.29,0,Budget
DRAWER KNOB CERAMIC BLACK,1.4426829268292682,947,78,57,1332.35,0,Budget
DRAWER KNOB CERAMIC IVORY,1.4537869822485208,2053,165,110,2889.49,1,Trending
DRAWER KNOB CERAMIC RED,1.44,685,59,42,952.4499999999999,0,Budget
DRAWER KNOB CRACKLE GLAZE BLUE,1.6609734513274337,1085,111,87,1761.6899999999998,0,Budget
DRAWER KNOB CRACKLE GLAZE GREEN,1.6470588235294117,1272,136,97,2060.3999999999996,0,Budget
DRAWER KNOB CRACKLE GLAZE IVORY,1.6456521739130436,2084,177,115,3361.7999999999997,1,Trending
DRAWER KNOB CRACKLE GLAZE PINK,1.6471014492753622,1234,136,93,1997.6999999999998,0,Budget
DRAWER KNOB VINTAGE GLASS BALL,2.1245652173913046,317,46,40,669.61,0,Budget
DRAWER KNOB VINTAGE GLASS HEXAGON,2.08,287,27,26,596.96,0,Budget
DRAWER KNOB VINTAGE GLASS STAR,2.10625,504,53,43,1019.0500000000001,0,Budget
EASTER BUNNY GARLAND OF FLOWERS,0.42,525,37,35,220.5,0,Budget
EASTER BUNNY HANGING GARLAND,1.25,54,11,9,67.5,0,Budget
EASTER BUNNY WITH BASKET ON BACK,0.65,105,18,13,68.25,0,Budget
EASTER BUNNY WREATH,4.95,28,10,10,138.6,0,Budget
EASTER CRAFT 4 CHICKS,1.937272727272727,1819,159,148,3367.0499999999997,1,Trending
EASTER DECORATION EGG BUNNY,0.9683116883116883,828,75,67,654.7,0,Budget
EASTER DECORATION HANGING BUNNY,0.46279069767441866,1861,78,69,563.35,0,Budget
EASTER DECORATION NATURAL CHICK,0.65,514,48,42,334.1,0,Budget
EASTER DECORATION SITTING BUNNY,0.8477586206896552,503,54,44,408.83,0,Budget
EASTER TIN BUCKET,2.5026315789473683,405,38,34,931.95,0,Budget
EASTER TIN BUNNY BOUQUET,1.6453846153846152,1150,127,111,1832.6999999999998,0,Budget
EASTER TIN CHICKS IN GARDEN,1.65,292,38,36,481.79999999999995,0,Budget
EASTER TIN CHICKS PINK DAISY,1.65,567,85,82,935.55,0,Budget
EASTER TIN KEEPSAKE,1.6446902654867257,1081,110,103,1718.85,0,Budget
EASTER TREE YELLOW BIRDS,5.95,109,43,35,648.5500000000001,0,Budget
EAU DE NIL LOVE BIRD CANDLE,1.1833333333333333,336,21,14,353.72,0,Budget
EAU DE NILE HEART SHAPE PHOTO FRAME,1.6409090909090909,305,21,20,474.44999999999993,0,Budget
EAU DE NILE JEWELLED PHOTOFRAME,2.0729166666666665,297,21,18,522.4499999999999,0,Budget
ECONOMY LUGGAGE TAG,1.540625,95,29,18,140.81,0,Budget
EDWARDIAN HEART PHOTO FRAME,4.15,147,33,29,610.0500000000001,0,Budget
EDWARDIAN PARASOL BLACK,5.8937113402061865,2779,291,142,15218.67,1,Trending
EDWARDIAN PARASOL NATURAL,5.864685863874345,3826,378,184,20696.71,3,Niche
EDWARDIAN PARASOL PINK,5.941313868613139,769,135,87,4254.16,0,Budget
EDWARDIAN PARASOL RED,5.920369003690038,1630,270,141,9055.87,1,Trending
EDWARDIAN PHOTO FRAME,6.25,89,31,27,556.25,0,Budget
EGG CUP HENRIETTA HEN CREAM,1.2349999999999999,580,28,24,664.52,0,Budget
EGG CUP HENRIETTA HEN PINK,1.25,187,18,15,233.75,0,Budget
EGG CUP MILKMAID HEIDI,1.241063829787234,786,46,44,922.02,0,Budget
EGG CUP MILKMAID HELGA,1.25,348,31,28,435.0,0,Budget
EGG CUP MILKMAID INGRID,1.2449999999999999,587,42,39,703.51,0,Budget
EGG CUP NATURAL CHICKEN,0.9306741573033708,841,87,62,521.73,0,Budget
EGG FRYING PAN BLUE,2.08,150,58,43,312.0,0,Budget
EGG FRYING PAN IVORY,2.0744578313253013,359,81,62,724.6400000000001,0,Budget
EGG FRYING PAN MINT,2.08,169,60,49,351.52000000000004,0,Budget
EGG FRYING PAN PINK,2.1115384615384616,200,63,46,418.05,0,Budget
EGG FRYING PAN RED,2.0749450549450548,405,91,62,820.32,0,Budget
EIGHT PIECE DINOSAUR SET,1.25,93,18,16,116.25,0,Budget
EIGHT PIECE SNAKE  SET,1.25,314,68,53,392.5,0,Budget
ELEPHANT BIRTHDAY CARD,0.4576712328767123,1092,72,63,454.92,0,Budget
ELEPHANT CARNIVAL POUFFE,14.949999999999998,38,24,14,568.0999999999999,0,Budget
"ELEPHANT, BIRTHDAY CARD,",0.4171428571428571,2114,126,95,859.08,0,Budget
EMBOSSED GLASS TEALIGHT HOLDER,1.2861585365853658,2381,162,118,2871.84,1,Trending
EMBOSSED HEART TRINKET BOX,2.0638888888888887,225,35,32,452.34000000000003,0,Budget
EMBROIDERED RIBBON REEL CLAIRE,3.701578947368421,219,19,18,755.01,0,Budget
EMBROIDERED RIBBON REEL DAISY,2.0655,558,59,58,1075.3799999999999,0,Budget
EMBROIDERED RIBBON REEL EMILY,2.073409090909091,526,85,83,1050.58,0,Budget
EMBROIDERED RIBBON REEL RACHEL,2.870952380952381,358,41,40,957.82,0,Budget
EMBROIDERED RIBBON REEL REBECCA,2.8743137254901963,312,51,50,860.88,0,Budget
EMBROIDERED RIBBON REEL ROSIE,2.0626,485,49,46,923.54,0,Budget
EMBROIDERED RIBBON REEL RUBY,3.735161290322581,166,30,30,589.38,0,Budget
EMBROIDERED RIBBON REEL SALLY,2.0706451612903227,458,62,57,909.14,0,Budget
EMBROIDERED RIBBON REEL SOPHIE,3.728604651162791,292,40,39,1028.76,0,Budget
EMBROIDERED RIBBON REEL SUSIE,2.0706451612903227,556,62,59,1072.96,0,Budget
EMERGENCY FIRST AID TIN,1.3484873949579832,890,119,79,1102.64,0,Budget
EMPIRE BIRTHDAY CARD,0.4295348837209302,1143,84,71,481.29,0,Budget
EMPIRE DESIGN ROSETTE,1.2261538461538461,4236,26,23,3596.4199999999996,0,Budget
EMPIRE GIFT WRAP,0.4179439252336449,3400,105,93,1384.0,0,Budget
EMPIRE TISSUE BOX,0.5468888888888889,1945,130,97,922.7900000000001,0,Budget
EMPIRE UNION JACK TV DINNER TRAY,4.960126582278481,811,78,61,2150.77,0,Budget
ENAMEL BLUE RIM BISCUIT BIN,4.786666666666666,89,30,27,413.95000000000005,0,Budget
ENAMEL BLUE RIM COFFEE CONTAINER,1.1928571428571428,147,21,18,155.03,0,Budget
ENAMEL BREAD BIN CREAM,12.658780487804878,713,326,189,8519.0,1,Trending
ENAMEL COLANDER CREAM,4.960709219858156,434,141,110,2086.11,0,Budget
ENAMEL FIRE BUCKET CREAM,7.015,221,92,75,1528.73,0,Budget
ENAMEL FLOWER JUG CREAM,5.911252796420581,1995,441,311,11444.93,3,Niche
ENAMEL MEASURING JUG CREAM,4.259353846153846,1193,315,227,4954.29,1,Trending
ENAMEL PINK COFFEE CONTAINER,1.018148148148148,603,52,46,546.2099999999999,0,Budget
ENAMEL PINK TEA CONTAINER,1.102142857142857,389,40,37,374.94,0,Budget
ENAMEL WASH BOWL CREAM,3.662328767123288,660,144,104,2231.8,0,Budget
ENAMEL WATERING CAN CREAM,4.928915662650603,544,161,131,2646.6,1,Trending
ENCHANTED BIRD COATHANGER 5 HOOK,4.666113989637306,775,190,125,3475.19,1,Trending
ENCHANTED BIRD PLANT CAGE,3.6409090909090907,181,43,33,599.5500000000001,0,Budget
ENGLISH ROSE GARDEN SECATEURS,1.0931284916201118,1958,174,141,1826.78,1,Trending
ENGLISH ROSE HOT WATER BOTTLE,4.271463414634146,1423,277,198,5767.91,1,Trending
ENGLISH ROSE METAL WASTE BIN,2.95,20,11,10,59.0,0,Budget
ENGLISH ROSE NOTEBOOK A6 SIZE,0.6385,398,20,19,185.1,0,Budget
ENGLISH ROSE NOTEBOOK A7 SIZE,0.42364444444444443,2729,221,140,1147.0,1,Trending
ENGLISH ROSE SCENTED HANGING FLOWER,1.2211538461538463,423,50,36,366.25,0,Budget
ENGLISH ROSE SMALL SCENTED FLOWER,0.85,198,27,26,168.29999999999998,0,Budget
ENGLISH ROSE SPIRIT LEVEL,1.2371739130434782,948,92,68,860.88,0,Budget
ENVELOPE 50 BLOSSOM IMAGES,0.4998666666666667,947,74,65,491.55,0,Budget
ENVELOPE 50 CURIOUS IMAGES,0.635,50,10,10,27.02,0,Budget
ESSENTIAL BALM 3.5G TIN IN ENVELOPE,0.16666666666666666,5856,17,15,383.76,0,Budget
ETCHED GLASS COASTER,0.519,1536,58,46,722.88,0,Budget
EUCALYPTUS & PINECONE  WREATH,4.366216216216216,311,37,35,1118.65,0,Budget
FAIRY CAKE BIRTHDAY CANDLE SET,3.7309523809523806,428,84,75,1547.4,0,Budget
FAIRY CAKE DESIGN UMBRELLA,3.820315789473684,411,95,68,1482.87,0,Budget
FAIRY CAKE FLANNEL ASSORTED COLOUR,1.4016751269035532,10082,192,160,17304.57,3,Niche
FAIRY CAKES NOTEBOOK A6 SIZE,0.6680733944954129,1272,108,80,762.99,0,Budget
FAIRY CAKES NOTEBOOK A7 SIZE,0.4303,1684,99,74,655.34,0,Budget
FAIRY DREAMS INCENSE,0.2084375,1025,32,25,212.75,0,Budget
FAIRY SOAP SOAP HOLDER,1.69,232,57,41,392.08,0,Budget
FAIRY TALE COTTAGE NIGHT LIGHT,1.939156626506024,913,81,74,1719.1499999999999,0,Budget
FAIRY TALE COTTAGE NIGHTLIGHT,1.9137681159420288,2016,69,51,3352.7999999999997,0,Budget
FAMILY ALBUM WHITE PICTURE FRAME,8.388641114982578,1075,286,165,8416.64,1,Trending
FAMILY PHOTO FRAME CORNICE,9.909574468085106,837,233,184,7646.839999999999,1,Trending
FAN BLACK FRAME,0.29,143,12,11,41.47,0,Budget
"FANCY FONT BIRTHDAY CARD,",0.4185770750988142,4740,250,171,1910.8799999999999,1,Trending
FANCY FONTS BIRTHDAY WRAP,0.4182758620689655,8600,230,177,3430.0,1,Trending
FANNY'S REST STOPMETAL SIGN,2.0952873563218395,421,85,67,879.1800000000001,0,Budget
FAUX FUR CHOCOLATE THROW,18.064285714285713,66,34,30,1055.7,0,Budget
FAWN BLUE HOT WATER BOTTLE,3.3662273901808786,2925,379,253,9218.550000000001,1,Trending
"FEATHER PEN,COAL BLACK",0.5386725663716814,2462,110,71,1180.26,0,Budget
"FEATHER PEN,HOT PINK",0.5099378881987577,3621,157,106,1777.61,1,Trending
"FEATHER PEN,LIGHT PINK",0.5366355140186916,1936,105,72,951.54,0,Budget
FELT EGG COSY BLUE RABBIT,0.9124,410,47,37,351.62,0,Budget
FELT EGG COSY CHICKEN,0.8660824742268041,924,90,62,788.52,0,Budget
FELT EGG COSY LADYBIRD,0.8671428571428572,256,18,14,125.68,0,Budget
FELT EGG COSY WHITE RABBIT,0.8894936708860759,520,70,61,447.46,0,Budget
FELT FARM ANIMAL CHICKEN,1.25,262,33,32,327.5,0,Budget
FELT FARM ANIMAL HEN,1.0547058823529412,384,16,16,240.96,0,Budget
FELT FARM ANIMAL RABBIT,1.1347222222222222,722,36,35,543.9399999999999,0,Budget
FELT FARM ANIMAL SHEEP,1.1577777777777778,283,16,16,194.39,0,Budget
FELT FARM ANIMAL WHITE BUNNY,0.67,1393,40,38,518.77,0,Budget
FELT TOADSTOOL  SMALL,0.85,542,44,33,460.7,0,Budget
FELT TOADSTOOL LARGE,1.2453658536585366,594,41,33,706.02,0,Budget
FELTCRAFT 6 FLOWER FRIENDS,2.1034249471458777,5890,461,337,11566.390000000001,3,Niche
FELTCRAFT BOY JEAN-PAUL KIT,4.978916666666667,354,117,103,1735.98,0,Budget
FELTCRAFT BUTTERFLY HEARTS,1.4642163355408389,6127,436,287,8314.55,3,Niche
FELTCRAFT CHRISTMAS FAIRY,4.351269841269842,1896,302,240,7722.68,1,Trending
FELTCRAFT CUSHION BUTTERFLY,3.737209302325582,2698,294,192,9655.48,1,Trending
FELTCRAFT CUSHION OWL,3.785610328638498,3284,417,244,11783.05,1,Trending
FELTCRAFT CUSHION RABBIT,3.7373573573573573,3018,324,202,10694.81,1,Trending
FELTCRAFT DOLL EMILY,2.9876470588235295,1301,231,168,3732.15,1,Trending
FELTCRAFT DOLL MARIA,2.9414893617021276,194,46,43,553.1,0,Budget
FELTCRAFT DOLL MOLLY,2.967033333333333,4469,293,211,11762.99,1,Trending
FELTCRAFT DOLL ROSIE,2.967186311787072,1653,256,181,4716.870000000001,1,Trending
FELTCRAFT GIRL AMELIE KIT,5.020839694656488,987,255,187,4824.13,1,Trending
FELTCRAFT GIRL NICOLE KIT,4.969884393063584,646,170,137,3174.7400000000002,1,Trending
FELTCRAFT HAIRBAND PINK AND BLUE,0.85,796,117,100,676.5999999999999,0,Budget
FELTCRAFT HAIRBAND PINK AND PURPLE,0.8940322580645161,834,118,94,721.38,0,Budget
FELTCRAFT HAIRBAND RED AND BLUE,0.85,845,120,103,718.25,0,Budget
FELTCRAFT HAIRBANDS PINK AND WHITE,0.9209090909090909,818,108,85,712.4599999999999,0,Budget
FELTCRAFT PRINCESS CHARLOTTE DOLL,3.7539429928741095,2223,401,275,8071.51,1,Trending
FELTCRAFT PRINCESS LOLA DOLL,3.7664961636828647,1964,378,247,7166.94,1,Trending
FELTCRAFT PRINCESS OLIVIA DOLL,3.794078431372549,1514,251,184,5446.1,1,Trending
FENG SHUI PILLAR CANDLE,0.19,3317,65,45,630.23,0,Budget
FILIGREE HEART BIRD WHITE,1.3925316455696204,1397,78,58,1726.3,0,Budget
FILIGREE HEART BUTTERFLY WHITE,1.26816091954023,1592,87,61,1947.06,0,Budget
FILIGREE HEART DAISY WHITE,1.24125,1199,71,56,1478.59,0,Budget
FILIGRIS HEART WITH BUTTERFLY,1.2636065573770492,3781,174,120,4544.13,1,Trending
FINE WICKER HEART,1.2352222222222222,2508,179,152,2984.52,1,Trending
FIRST AID TIN,3.2376666666666667,1129,148,104,3530.35,0,Budget
FIRST CLASS LUGGAGE TAG,1.2341666666666666,105,23,21,126.69,0,Budget
FIRST CLASS PASSPORT COVER,2.224615384615385,66,26,20,137.74,0,Budget
FIVE CATS HANGING DECORATION,3.072,172,39,35,506.32000000000005,0,Budget
FIVE HEART HANGING DECORATION,2.941111111111111,396,89,67,1161.0000000000002,0,Budget
FLOOR CUSHION ELEPHANT CARNIVAL,8.813636363636363,54,22,13,461.3,0,Budget
FLOOR LAMP SHADE WOOD BASE,9.341666666666667,32,12,6,287.74,0,Budget
FLORAL BATHROOM SET,3.75,21,11,9,78.75,0,Budget
FLORAL FOLK STATIONERY SET,1.5189622641509433,1366,205,151,1934.8500000000001,1,Trending
FLORAL PINK MONSTER,3.75,36,10,9,135.0,0,Budget
FLORAL SOFT CAR TOY,3.75,32,10,10,120.0,0,Budget
FLOWER FAIRY 5 DRAWER LINERS,2.55,60,20,18,153.0,0,Budget
"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,105,25,24,267.75,0,Budget
FLOWER VINE RAFFIA FOOD COVER,3.8467826086956523,338,114,77,1278.63,0,Budget
FLOWERS  STICKERS,1.09375,211,32,21,191.04999999999998,0,Budget
FLOWERS CHANDELIER T-LIGHT HOLDER,6.16025,866,36,32,2789.66,0,Budget
FLOWERS TILE COASTER,0.43657894736842107,990,37,32,329.84,0,Budget
FLOWERS TILE HOOK,1.53,57,11,10,71.82000000000001,0,Budget
FLUTED ANTIQUE CANDLE HOLDER,0.865,2313,128,100,1888.31,0,Budget
FLYING PIG WATERING CAN,2.8285714285714287,187,40,31,429.25000000000006,0,Budget
FOLDING BUTTERFLY MIRROR HOT PINK,0.8349230769230769,1839,128,84,1427.99,0,Budget
FOLDING BUTTERFLY MIRROR IVORY,0.8747058823529411,735,100,67,597.78,0,Budget
FOLDING BUTTERFLY MIRROR RED,0.8228260869565218,1252,89,56,961.28,0,Budget
FOLDING UMBRELLA BLACKBLUE POLKADOT,5.148297872340425,120,47,44,601.22,0,Budget
FOLDING UMBRELLA CHOCOLATE POLKADOT,5.089032258064516,87,31,30,430.06,0,Budget
FOLDING UMBRELLA CREAM POLKADOT,4.907575757575758,139,32,28,682.45,0,Budget
FOLDING UMBRELLA PINKWHITE POLKADOT,5.066451612903226,84,31,29,412.41,0,Budget
FOLDING UMBRELLA RED/WHITE POLKADOT,5.074927536231884,229,68,53,1134.58,0,Budget
FOLDING UMBRELLA WHITE/RED POLKADOT,4.889130434782609,86,23,22,420.1,0,Budget
FOLK ART METAL HEART T-LIGHT HOLDER,0.37,145,18,14,52.760000000000005,0,Budget
FOLK ART METAL STAR T-LIGHT HOLDER,0.39655172413793105,381,29,24,150.54000000000002,0,Budget
FOLKART CLIP ON STARS,0.4327500000000001,624,37,34,246.78,0,Budget
FOLKART HEART NAPKIN RINGS,1.4071428571428573,181,28,22,181.87,0,Budget
FOLKART STAR CHRISTMAS DECORATIONS,0.4962921348314607,3017,85,81,1282.4099999999999,0,Budget
FOLKART ZINC HEART CHRISTMAS DEC,0.8467295597484277,2692,153,116,2138.44,1,Trending
FOOD CONTAINER SET 3 LOVE HEART,2.0374736842105263,1890,180,115,3370.42,1,Trending
FOOD COVER WITH BEADS SET 2,3.792764227642276,980,121,109,3556.42,0,Budget
